imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,background.started,startkey.started,instructionstxt.started,background2.started,faces.started,resp.started,trial_counter.started,reminder.started,resp.keys,resp.corr,resp.rt,resp.duration,background4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\049_218_L.jpg,right,different,0,15,15,23,,,,109.00164880009834,109.00164880009834,109.00164880009834,109.00164880009834,109.00164880009834,right,1,0.8618638999760151,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\092_283_L.jpg,right,different,0,16,16,27,,,,109.8989405001048,109.8989405001048,109.8989405001048,109.8989405001048,109.8989405001048,right,1,1.2605101999361068,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (12).png,left,same,0,17,17,8,,,,111.23786520003341,111.23786520003341,111.23786520003341,111.23786520003341,111.23786520003341,left,1,1.1770910999039188,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (11).png,left,same,0,18,18,7,,,,112.47520050010644,112.47520050010644,112.47520050010644,112.47520050010644,112.47520050010644,left,1,1.000580899999477,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\091_283_R.jpg,right,different,0,19,19,26,,,,113.53396390005946,113.53396390005946,113.53396390005946,113.53396390005946,113.53396390005946,right,1,1.2879228999372572,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\fpsyg-12-627678-g001 different 1.jpg,right,different,0,20,20,30,,,,114.85722900007386,114.85722900007386,114.85722900007386,114.85722900007386,114.85722900007386,right,1,0.9524666999932379,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\168_C2_DV.jpg,left,same,0,21,21,16,,,,115.85679600003641,115.85679600003641,115.85679600003641,115.85679600003641,115.85679600003641,left,1,1.1560862999176607,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\106_224_L.jpg,right,different,0,22,22,29,,,,117.0480072000064,117.0480072000064,117.0480072000064,117.0480072000064,117.0480072000064,right,1,1.5402681999839842,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\136_C2_DV.jpg,left,same,0,23,23,14,,,,118.62819930003025,118.62819930003025,118.62819930003025,118.62819930003025,118.62819930003025,left,1,0.9915610000025481,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\102_224_R.jpg,right,different,0,24,24,28,,,,119.66185280005448,119.66185280005448,119.66185280005448,119.66185280005448,119.66185280005448,right,1,1.2675187999848276,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\Untitled.png,right,different,0,25,25,39,,,,121.0049373001093,121.0049373001093,121.0049373001093,121.0049373001093,121.0049373001093,right,1,1.0609751000301912,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\Untitled.jpeg,right,different,0,26,26,38,,,,122.12683640001342,122.12683640001342,122.12683640001342,122.12683640001342,122.12683640001342,right,1,1.0105087999254465,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (4).png,left,same,0,27,27,4,,,,123.23237340000924,123.23237340000924,123.23237340000924,123.23237340000924,123.23237340000924,left,1,1.0746666999766603,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\Untitled (8).png,right,different,0,28,28,33,,,,124.40969350002706,124.40969350002706,124.40969350002706,124.40969350002706,124.40969350002706,right,1,2.3141189999878407,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\235_C2_DV.jpg,left,same,0,29,29,18,,,,126.76900190010201,126.76900190010201,126.76900190010201,126.76900190010201,126.76900190010201,left,1,1.7876470000483096,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (3).png,left,same,0,30,30,3,,,,128.65266400005203,128.65266400005203,128.65266400005203,128.65266400005203,128.65266400005203,left,1,1.0104443000163883,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\115_C2_DV.jpg,left,same,0,31,31,11,,,,129.701559200068,129.701559200068,129.701559200068,129.701559200068,129.701559200068,left,1,1.9696845000144094,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\139_DV_C2.jpg,left,same,0,32,32,15,,,,131.7136407000944,131.7136407000944,131.7136407000944,131.7136407000944,131.7136407000944,left,1,1.0886342000449076,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\EaDfeOoU4AAcwAq same faces.jpg,left,same,0,33,33,1,,,,132.84329250000883,132.84329250000883,132.84329250000883,132.84329250000883,132.84329250000883,right,0,0.925187100074254,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\EaDfeOoU4AAcwAq .jpg,left,same,0,34,34,0,,,,133.82846330001485,133.82846330001485,133.82846330001485,133.82846330001485,133.82846330001485,right,0,0.9273265999509022,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\303_DV_C2.jpg,left,same,0,35,35,19,,,,134.79646530002356,134.79646530002356,134.79646530002356,134.79646530002356,134.79646530002356,left,1,1.4873822999652475,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (13).png,left,same,0,36,36,9,,,,136.38481410010718,136.38481410010718,136.38481410010718,136.38481410010718,136.38481410010718,left,1,1.383967199944891,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\129_C2_DV.jpg,left,same,0,37,37,13,,,,137.83865010004956,137.83865010004956,137.83865010004956,137.83865010004956,137.83865010004956,right,0,1.202092400053516,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (1).png,left,same,0,38,38,2,,,,139.10431270010304,139.10431270010304,139.10431270010304,139.10431270010304,139.10431270010304,right,0,1.1067913000006229,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (6).png,left,same,0,39,39,6,,,,140.2833832000615,140.2833832000615,140.2833832000615,140.2833832000615,140.2833832000615,left,1,1.1668296998832375,None,,,participant3,001,2023-11-28_11h16.23.843,glasgow face matching task new,2023.1.3,60.09163976286106,
,,,,,,,,,,,,,,,,,,,141.47450110001955,141.47450110001955,,,,,,,
